Vessel_name,Vessel_type,contract_cost,operating_cost,Regular_origin,max_cap,v_loaded,vmax,loading time,time to availability,information
Queen of Capilano,ferry,0,550,Horseshoe Bay Terminal,457,12,12,10,10,https://www.bcferries.com/about/corporate/safety_first/safety_cap_cumberland.html
Cormorant,Water taxi,0,200,Snug Cove Marina,12,20,25,3,10,
Bowen Arrow,Water taxi,0,200,Snug Cove Marina,12,20,25,3,30,
Apodaca,Water taxi,0,380,Snug Cove Marina,38,20,25,5,10,
Kinbasket Queen,Water taxi,0,380,Snug Cove Marina,40,15,17,5,30,
Mercury 1,Water taxi,0,200,Horseshoe Bay Terminal,12,20,25,3,20,
Mercury 2,Water taxi,0,200,Horseshoe Bay Terminal,12,20,25,3,30,
Mercury 3,Water taxi,0,380,Horseshoe Bay Terminal,40,20,25,5,20,
Sunshine Coast Water Taxi,Water taxi,0,200,Gibsons Harbor,12,20,25,3,20,
Harbour Ferry Bertram,Water taxi,0,150,Gibsons Harbor,6,17,20,3,20,
Kona Winds Charters 1,Water taxi,0,380,Gibsons Harbor,40,20,25,5,30,
Stormaway III,Water taxi,0,380,Gibsons Harbor,40,20,25,5,30,
RCM SAR 01,SAR boat,0,0,Horseshoe Bay Terminal,12,25,30,3,30,
RCM SAR 01b,SAR boat,0,0,Horseshoe Bay Terminal,4,25,30,3,30,
RCM SAR 14,SAR Boat,0,0,Gibsons Harbor,8,25,30,5,30,
RCM SAR 02,SAR Boat,0,0,Lynwood Marina,12,25,30,3,30,
CCG response 1,SAR Boat,0,0,Kitsilano CCG,15,25,25,5,30,
CCG response 2,SAR Boat,0,0,Kitsilano CCG,15,25,25,5,30,
CCG landing vessel,SAR Landing vessel,0,0,Kitsilano CCG,60,18,18,8,30,
CCG Siyay,Hovercraft,0,0,Richmond Hovercraft Base,50,45,45,10,30,
CCG Moytel,Hovercraft,0,0,Richmond Hovercraft Base,50,50,50,10,30,